original,0.0,5.161,5.161,
rspk,0.0,4.6963124,4.6963124,
original,5.161,9.657,4.496,
rspk,4.6963124,9.438,4.7416873,
original,9.657,15.836,6.179001,
rspk,9.438,13.453688,4.015688,
original,15.836,22.753,6.917,
rspk,13.453688,18.830626,5.376938,
original,22.753,30.326,7.573,
rspk,18.830626,25.568813,6.738188,
original,30.326,34.035,3.7089996,
rspk,25.568813,28.518187,2.9493732,
original,34.035,42.383,8.348,
rspk,28.518187,36.39075,7.8725643,
original,42.383,44.845,2.4620018,
rspk,36.39075,39.317436,2.9266853,
original,44.845,51.576,6.730999,
rspk,39.317436,45.1935,5.8760643,
original,51.576,55.538,3.961998,
rspk,45.1935,47.326126,2.1326256,
original,55.538,60.579,5.0410004,
rspk,47.326126,51.06956,3.743435,
original,60.579,63.979,3.4000015,
rspk,51.06956,53.020687,1.9511261,
original,63.979,71.869,7.890003,
rspk,53.020687,59.781563,6.7608757,
original,71.869,76.434,4.564995,
rspk,59.781563,62.935123,3.1535606,
original,76.434,79.742,3.3079987,
rspk,62.935123,66.2475,3.312374,
original,79.742,82.337,2.5950012,
rspk,66.2475,68.47088,2.223381,
original,82.337,88.415,6.078003,
rspk,68.47088,72.463875,3.9929962,
original,88.415,93.209,4.7939987,
rspk,72.463875,76.88794,4.4240646,
original,93.209,100.391,7.181999,
rspk,76.88794,82.33294,5.4449997,
original,100.391,107.005,6.6139984,
rspk,82.33294,87.12,4.7870636,
original,107.005,115.015,8.010002,
rspk,87.12,92.928,5.8079987,
original,115.015,118.937,3.921997,
rspk,92.928,96.3765,3.4485016,
original,118.937,122.156,3.2190018,
rspk,96.3765,99.325874,2.9493713,
original,122.156,129.82,7.664009,
rspk,99.325874,106.79006,7.4641876,
original,129.82,133.963,4.14299,
rspk,106.79006,110.39738,3.607315,
original,133.963,140.667,6.70401,
rspk,110.39738,115.275185,4.8778076,
original,140.667,143.52,2.8529968,
rspk,115.275185,117.88425,2.6090622,
original,143.52,146.424,2.9039917,
rspk,117.88425,120.62944,2.7451935,
original,146.424,150.722,4.298004,
rspk,120.62944,125.57531,4.9458694,
original,150.722,154.994,4.272003,
rspk,125.57531,128.84232,3.267006,
original,154.994,163.368,8.373993,
rspk,128.84232,134.10582,5.263504,
original,163.368,166.159,2.7910004,
rspk,134.10582,136.851,2.7451782,
original,166.159,171.73,5.570999,
rspk,136.851,140.39024,3.5392456,
original,171.73,174.465,2.7350006,
rspk,140.39024,143.31694,2.9266968,
original,174.465,181.429,6.9640045,
rspk,143.31694,150.57693,7.2599945,
original,181.429,193.928,12.498993,
rspk,150.57693,160.6275,10.050568,
original,193.928,198.559,4.631012,
rspk,160.6275,163.78107,3.1535645,
original,198.559,200.201,1.6419983,
rspk,163.78107,166.00444,2.2233734,
original,200.201,204.528,4.326996,
rspk,166.00444,169.02188,3.0174408,
original,204.528,207.022,2.4940033,
rspk,169.02188,170.95032,1.9284363,
original,207.022,215.814,8.791992,
rspk,170.95032,175.85081,4.9004974,
original,215.814,217.863,2.0490112,
rspk,175.85081,178.4372,2.58638,
